Health Plan Provider ID|Network Code|First Name|Last Name|Business Name|NPI|Tax ID|Provider Type|Full or Part Time|In Person After Hours|Supervising Specialist|Supervising NPI|Specialization Certificate|Health Plan Address ID|Address Type|Clinic Name|Address 1|Address 2|Address 3|City|State Abbreviation|Zip Code|County Name|Phone Number|Fax Number|Email|Latitude|Longitude|Taxonomy Code|Specialty Code|Primary Specialty|Board Certified|Board Eligible|Is PCP|Accepting New Patients|Accepting New Referrals|Network Tier ID|Provider Group Name|Outpatient Appointment Availability|In Directory|Created At|Processed At Date|Record Status|Load File Name|Provider ID|Provider Network ID|Provider Address ID|Provider Taxonomy ID|Network ID|Contract Effective Date|Contract Termination Date|Provider Assigned Members|Location Assigned Members
PRV000014|NW0001|Invalid|Full or Part Time|Invalid Full or Part Time|1234567901|123456791|PHYSICIAN|FULL TIME|TRUE||||ADDR0015|PHYSICAL|Invalid Full or Part Time|Invalid Full or Part Time|||Los Angeles|CA|90001|LOS ANGELES|323-555-2323|323-555-2424|missingdata@example.com|||NONE|02|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|ERROR TEST 13|ERROR TEST 13|TRUE|YES||||||||||2020-01-01|2020-12-31||
PRV000015|NW0001|Missing|In Person After Hours|Missing In Person After Hours|1234567902|123456792|PHYSICIAN|FT|||||ADDR0016|PHYSICAL|Missing In Person After Hours|Missing In Person After Hours|||Los Angeles|CA|90001|LOS ANGELES|323-555-2323|323-555-2424|baddata@example.com|||NONE|02|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|ERROR TEST 14|ERROR TEST 14|TRUE|YES||||||||||2020-01-01|2020-12-31||
PRV000016|NW0001|Invalid|In Person After Hours|Invalid In Person After Hours|1234567903|123456793|PHYSICIAN|FT|YES||||ADDR0017|PHYSICAL|Invalid In Person After Hours|Invalid In Person After Hours|||Los Angeles|CA|90001|LOS ANGELES|323-555-2323|323-555-2424|baddata@example.com|||NONE|02|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|ERROR TEST 15|ERROR TEST 15|TRUE|YES||||||||||2020-01-01|2020-12-31||
PRV000017|NW0001|Missing|Supervising Specialist|Missing Supervising Specialist|1234567904|123456794|NON-PHYSICIAN|FT|FALSE||||ADDR0018|PHYSICAL|Missing Supervising Specialist|Missing Supervising Specialist|||Los Angeles|CA|90001|LOS ANGELES|323-555-2323|323-555-2424|missingdata@example.com|||NONE|02|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|ERROR TEST 16|ERROR TEST 16|TRUE|YES||||||||||2020-01-01|2020-12-31||
PRV000018|NW0001|Missing|Health Plan Provider Address|Missing Health Plan Provider Address|1234567905|123456795|PHYSICIAN|FT|FALSE|||||||||||||||||||NONE|02|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|ERROR TEST 17|ERROR TEST 17|TRUE|YES||||||||||2020-01-01|2020-12-31||
PRV000019|NW0001|Invalid|Address Type|Invalid Address Type|1234567904|123456794|PHYSICIAN|FT|FALSE||||ADDR0018|BADTYPE|Invalid Address Type|Invalid Address Type|||Los Angeles|CA|90001|LOS ANGELES|323-555-2323|323-555-2424|missingdata@example.com|||NONE|02|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|ERROR TEST 18|ERROR TEST 18|TRUE|YES||||||||||2020-01-01|2020-12-31||
PRV000020|NW0001|Invalid|City State Zip County Combo|Invalid City State Zip County Combo|1234567905|123456795|PHYSICIAN|FT|FALSE||||ADDR0019|PHYSICAL|Invalid City State Zip County Combo|Invalid City State Zip County Combo|||Los Angeles|CA|37206|LOS ANGELES|323-555-2323|323-555-2424|baddata@example.com|||NONE|02|TRUE|TRUE|TRUE|TRUE|TRUE|TRUE|ERROR TEST 19|ERROR TEST 19|TRUE|YES||||||||||2020-01-01|2020-12-31||
PRV000021|NW0001|Invalid|Primary Specialty Indicator|Invalid Primary Specialty Indicator|1234567906|123456796|PHYSICIAN|FT|FALSE||||ADDR0020|PHYSICAL|Invalid Primary Specialty Indicator|Invalid Primary Specialty Indicator|||Los Angeles|CA|90001|LOS ANGELES|323-555-2323|323-555-2424|baddata@example.com|||NONE|02|BADPRIMSPEC|TRUE|TRUE|TRUE|TRUE|TRUE|ERROR TEST 20|ERROR TEST 20|TRUE|YES||||||||||2020-01-01|2020-12-31||
PRV000022|NW0001|Invalid|Board Certified Indicator|Invalid Board Certified Indicator|1234567907|123456797|PHYSICIAN|FT|FALSE||||ADDR0021|PHYSICAL|Invalid Board Certified Indicator|Invalid Board Certified Indicator|||Los Angeles|CA|90001|LOS ANGELES|323-555-2323|323-555-2424|baddata@example.com|||NONE|02|TRUE|BADBOARDSPEC|TRUE|TRUE|TRUE|TRUE|ERROR TEST 21|ERROR TEST 21|TRUE|YES||||||||||2020-01-01|2020-12-31||
PRV000023|NW0001|Invalid|Board Eligible Indicator|Invalid Board Eligible Indicator|1234567908|123456798|PHYSICIAN|FT|FALSE||||ADDR0022|PHYSICAL|Invalid Board Eligible Indicator|Invalid Board Eligible Indicator|||Los Angeles|CA|90001|LOS ANGELES|323-555-2323|323-555-2424|baddata@example.com|||NONE|02|TRUE|TRUE|BADBOARDELIG|TRUE|TRUE|TRUE|ERROR TEST 22|ERROR TEST 22|TRUE|YES||||||||||2020-01-01|2020-12-31||
PRV000024|NW0001|Invalid|Is PCP Indicator|Invalid Is PCP Indicator|1234567909|123456799|PHYSICIAN|FT|FALSE||||ADDR0023|PHYSICAL|Invalid Is PCP Indicator|Invalid Is PCP Indicator|||Los Angeles|CA|90001|LOS ANGELES|323-555-2323|323-555-2424|baddata@example.com|||NONE|02|TRUE|TRUE|TRUE|BADISPCP|TRUE|TRUE|ERROR TEST 23|ERROR TEST 23|TRUE|YES||||||||||2020-01-01|2020-12-31||
PRV000025|NW0001|Invalid|Accepting New Patients|Invalid Accepting New Patients Indicator|1234567910|123456700|PHYSICIAN|FT|FALSE||||ADDR0024|PHYSICAL|Invalid Accepting New Patients Indicator|Invalid Accepting New Patients Indicator|||Los Angeles|CA|90001|LOS ANGELES|323-555-2323|323-555-2424|baddata@example.com|||NONE|02|TRUE|TRUE|TRUE|FALSE|BADACCNEWPT|TRUE|ERROR TEST 24|ERROR TEST 24|TRUE|YES||||||||||2020-01-01|2020-12-31||
PRV000026|NW0001|Invalid|Accepting New Referrals|Invalid Accepting New Referrals Indicator|1234567911|123456701|PHYSICIAN|FT|FALSE||||ADDR0025|PHYSICAL|Invalid Accepting New Referrals Indicator|Invalid Accepting New Referrals Indicator|||Los Angeles|CA|90001|LOS ANGELES|323-555-2323|323-555-2424|baddata@example.com|||NONE|02|TRUE|TRUE|TRUE|FALSE|TRUE|BADACCPTNWREF|ERROR TEST 25|ERROR TEST 25|TRUE|YES||||||||||2020-01-01|2020-12-31||
PRV000027|NW0001|Invalid|Outpt Appt Avail|Invalid Outpt Appt Avail Indicator|1234567912|123456702|PHYSICIAN|FT|FALSE||||ADDR0026|PHYSICAL|Invalid Outpt Appt Avail Indicator|Invalid Outpt Appt Avail Indicator|||Los Angeles|CA|90001|LOS ANGELES|323-555-2323|323-555-2424|baddata@example.com|||NONE|02|TRUE|TRUE|TRUE|FALSE|TRUE|FALSE|ERROR TEST 26|ERROR TEST 26|BADOUTPTAVAIL|YES||||||||||2020-01-01|2020-12-31||
PRV000028|NW0001|Invalid|In Directory|Invalid In Directory Indicator|1234567913|123456703|PHYSICIAN|FT|FALSE||||ADDR0027|PHYSICAL|Invalid In Directory Indicator|Invalid In Directory Indicator|||Los Angeles|CA|90001|LOS ANGELES|323-555-2323|323-555-2424|baddata@example.com|||NONE|02|TRUE|TRUE|TRUE|FALSE|TRUE|FALSE|ERROR TEST 27|ERROR TEST 27|FALSE|BADINDIR||||||||||2020-01-01|2020-12-31||
PRV000029|NW0001|Invalid|Contract Effective Date|Invalid Contract Effective Date|1234567914|123456704|PHYSICIAN|FT|FALSE||||ADDR0028|PHYSICAL|Invalid Contract Effective Date|Invalid Contract Effective Date|||Los Angeles|CA|90001|LOS ANGELES|323-555-2323|323-555-2424|baddata@example.com|||NONE|02|TRUE|TRUE|TRUE|FALSE|TRUE|FALSE|ERROR TEST 28|ERROR TEST 28|FALSE|REMOVED||||||||||BADDATE|2020-12-31||
PRV000030|NW0001|Missing|Contract Effective Date|Missing Contract Effective Date|1234567915|123456705|PHYSICIAN|FT|FALSE||||ADDR0029|PHYSICAL|Missing Contract Effective Date|Missing Contract Effective Date|||Los Angeles|CA|90001|LOS ANGELES|323-555-2323|323-555-2424|baddata@example.com|||NONE|02|TRUE|TRUE|TRUE|FALSE|TRUE|FALSE|ERROR TEST 29|ERROR TEST 29|FALSE|WITHHELD|||||||||||2020-12-31||
PRV000031|NW0001|Invalid|Contract Term Date|Invalid Contract Term Date|1234567916|123456706|PHYSICIAN|FT|FALSE||||ADDR0030|PHYSICAL|Invalid Contract Term Date|Invalid Contract Term Date|||Los Angeles|CA|90001|LOS ANGELES|323-555-2323|323-555-2424|baddata@example.com|||NONE|02|TRUE|TRUE|TRUE|FALSE|TRUE|FALSE|ERROR TEST 30|ERROR TEST 30|FALSE|NO||||||||||2020-01-01|2019-12-31||
PRV000032|NW0001|Clint|Barton|Hawkeye Health|9998887771|951112223|PHYSICIAN|PT|FALSE||||ADDR0031|PHYSICAL|Hawk's Nest Medical Clinic - Del Mar|8091 Bow Street|||Del Mar|CA|92014|SAN DIEGO|858-555-4444|858-555-5555|barton@hawkeyehealth.com|||208C00000X|02|TRUE|TRUE|TRUE|FALSE|FALSE|TRUE|||FALSE|NO||||||||||2019-01-01|2021-12-31|0|0
PRV000032|NW0001|Clint|Barton|Hawkeye Health|9998887771|951112223|PHYSICIAN|PT|FALSE||||ADDR0032|PHYSICAL|Hawk's Nest Medical Clinic - El Cajon|32098 Avenger Blvd|Suite 205||El Cajon|CA|92019|SAN DIEGO|858-555-4444|858-555-5555|barton@hawkeyehealth.com|||208C00000X|02|TRUE|TRUE|TRUE|FALSE|FALSE|FALSE|||FALSE|NO||||||||||2019-01-01|2021-12-31|0|0
PRV000001|NW0002|Anthony|Stark|Stark Health Enterprises|9123456780|951234567|PHYSICIAN|FT|TRUE||||ADDR0001|PHYSICAL|Mark I Medical Clinic|123 Pacific Coast Highway|Suite 105||Malibu|CA|90265|LOS ANGELES|323-555-1212|323-555-1313|stark@starkhealthent.com|||NONE|02|TRUE|TRUE|TRUE|TRUE|TRUE|FALSE||Stark Industries Physicians|FALSE|YES||||||||||2019-01-01|2020-12-31|100|100
PRV000032|NW0002|Clint|Barton|Hawkeye Health|9998887771|951112223|PHYSICIAN|PT|FALSE||||ADDR0031|PHYSICAL|Hawk's Nest Medical Clinic - Del Mar|8091 Bow Street|||Del Mar|CA|92014|SAN DIEGO|858-555-4444|858-555-5555|barton@hawkeyehealth.com|||208C00000X|02|TRUE|TRUE|TRUE|FALSE|FALSE|TRUE|||FALSE|NO||||||||||2019-01-01|2021-12-31|0|0
PRV000032|NW0002|Clint|Barton|Hawkeye Health|9998887771|951112223|PHYSICIAN|PT|FALSE||||ADDR0032|PHYSICAL|Hawk's Nest Medical Clinic - El Cajon|32098 Avenger Blvd|Suite 205||El Cajon|CA|92019|SAN DIEGO|858-555-4444|858-555-5555|barton@hawkeyehealth.com|||208C00000X|02|TRUE|TRUE|TRUE|FALSE|FALSE|FALSE|||FALSE|NO||||||||||2019-01-01|2021-12-31|0|0
PRV000033|NW0001|Peter|Parker||9998887772|951112224|PHYSICIAN|FT|FALSE||||ADDR0033|PHYSICAL|Southern California Primary Care Associates - Newport|9870 Pacific Coast Highway|Suite 110||Newport Beach|CA|92660|ORANGE|949-555-7777|949-555-8888|parker@socalprimary.com|||207Q00000X|08|TRUE|TRUE|TRUE|FALSE|TRUE|FALSE||SoCal Independent Physicians|FALSE|YES||||||||||2018-01-01|2021-12-31|0|0
PRV000033|NW0001|Peter|Parker||9998887772|951112224|PHYSICIAN|FT|FALSE||||ADDR0034|PHYSICAL|Southern California Primary Care Associates - Laguna|15301 Laguna Bay Drive|Suite 300||Laguna Beach|CA|92651|ORANGE|949-555-9999|949-555-0001|parker@socalprimary.com|||207Q00000X|08|TRUE|TRUE|TRUE|TRUE|FALSE|FALSE||SoCal Independent Physicians|FALSE|YES||||||||||2018-01-01|2021-12-31|0|0
PRV000033|NW0002|Peter|Parker||9998887772|951112224|PHYSICIAN|FT|FALSE||||ADDR0033|PHYSICAL|Southern California Primary Care Associates - Newport|9870 Pacific Coast Highway|Suite 110||Newport Beach|CA|92660|ORANGE|949-555-7777|949-555-8888|parker@socalprimary.com|||207Q00000X|08|TRUE|TRUE|TRUE|FALSE|TRUE|FALSE||SoCal Independent Physicians|FALSE|YES||||||||||2018-01-01|2021-12-31|0|0
PRV000033|NW0002|Peter|Parker||9998887772|951112224|PHYSICIAN|FT|FALSE||||ADDR0034|PHYSICAL|Southern California Primary Care Associates - Laguna|15301 Laguna Bay Drive|Suite 300||Laguna Beach|CA|92651|ORANGE|949-555-9999|949-555-0001|parker@socalprimary.com|||207Q00000X|08|TRUE|TRUE|TRUE|TRUE|FALSE|FALSE||SoCal Independent Physicians|FALSE|YES||||||||||2018-01-01|2021-12-31|0|0
